"","code","date","value","uname","tcode"
"219","JPM366_EMBI366",1995-03-15,1389,"",NA
"220","JPM366_EMBI366",1995-03-16,1423,"",NA
"221","JPM366_EMBI366",1995-03-17,1512,"",NA
"222","JPM366_EMBI366",1995-03-20,1517,"",NA
"223","JPM366_EMBI366",1995-03-21,1523,"",NA
"224","JPM366_EMBI366",1995-03-22,1522,"",NA
"225","JPM366_EMBI366",1995-03-23,1529,"",NA
"226","JPM366_EMBI366",1995-03-24,1471,"",NA
"227","JPM366_EMBI366",1995-03-27,1475,"",NA
"228","JPM366_EMBI366",1995-03-28,1521,"",NA
"229","JPM366_EMBI366",1995-03-29,1501,"",NA
"230","JPM366_EMBI366",1995-03-30,1428,"",NA
"231","JPM366_EMBI366",1995-03-31,1441,"",NA
"232","JPM366_EMBI366",1995-04-03,1443,"",NA
"233","JPM366_EMBI366",1995-04-04,1397,"",NA
"234","JPM366_EMBI366",1995-04-05,1394,"",NA
"235","JPM366_EMBI366",1995-04-06,1355,"",NA
"236","JPM366_EMBI366",1995-04-07,1359,"",NA
"237","JPM366_EMBI366",1995-04-10,1370,"",NA
"238","JPM366_EMBI366",1995-04-11,1412,"",NA
"239","JPM366_EMBI366",1995-04-12,1427,"",NA
"240","JPM366_EMBI366",1995-04-13,1344,"",NA
"241","JPM366_EMBI366",1995-04-17,1337,"",NA
"242","JPM366_EMBI366",1995-04-18,1352,"",NA
"243","JPM366_EMBI366",1995-04-19,1341,"",NA
"244","JPM366_EMBI366",1995-04-20,1280,"",NA
"245","JPM366_EMBI366",1995-04-21,1273,"",NA
"246","JPM366_EMBI366",1995-04-24,1245,"",NA
"247","JPM366_EMBI366",1995-04-25,1206,"",NA
"248","JPM366_EMBI366",1995-04-26,1190,"",NA
"249","JPM366_EMBI366",1995-04-27,1210,"",NA
"250","JPM366_EMBI366",1995-04-28,1217,"",NA
"251","JPM366_EMBI366",1995-05-01,1233,"",NA
"252","JPM366_EMBI366",1995-05-02,1244,"",NA
"253","JPM366_EMBI366",1995-05-03,1195,"",NA
"254","JPM366_EMBI366",1995-05-04,1154,"",NA
"255","JPM366_EMBI366",1995-05-05,1138,"",NA
"256","JPM366_EMBI366",1995-05-08,1177,"",NA
"257","JPM366_EMBI366",1995-05-09,1111,"",NA
"258","JPM366_EMBI366",1995-05-10,1083,"",NA
"259","JPM366_EMBI366",1995-05-11,1105,"",NA
"260","JPM366_EMBI366",1995-05-12,1056,"",NA
"261","JPM366_EMBI366",1995-05-15,1045,"",NA
"262","JPM366_EMBI366",1995-05-16,1048,"",NA
"263","JPM366_EMBI366",1995-05-17,1006,"",NA
"264","JPM366_EMBI366",1995-05-18,998,"",NA
"265","JPM366_EMBI366",1995-05-19,1016,"",NA
"266","JPM366_EMBI366",1995-05-22,1016,"",NA
"267","JPM366_EMBI366",1995-05-23,1019,"",NA
"268","JPM366_EMBI366",1995-05-24,996,"",NA
"269","JPM366_EMBI366",1995-05-25,1006,"",NA
"270","JPM366_EMBI366",1995-05-26,1027,"",NA
"271","JPM366_EMBI366",1995-05-30,1078,"",NA
"272","JPM366_EMBI366",1995-05-31,1060,"",NA
"273","JPM366_EMBI366",1995-06-01,1066,"",NA
"274","JPM366_EMBI366",1995-06-02,1040,"",NA
"275","JPM366_EMBI366",1995-06-05,1026,"",NA
"276","JPM366_EMBI366",1995-06-06,1054,"",NA
"277","JPM366_EMBI366",1995-06-07,1090,"",NA
"278","JPM366_EMBI366",1995-06-08,1129,"",NA
"279","JPM366_EMBI366",1995-06-09,1185,"",NA
"280","JPM366_EMBI366",1995-06-12,1151,"",NA
"281","JPM366_EMBI366",1995-06-13,1107,"",NA
"282","JPM366_EMBI366",1995-06-14,1158,"",NA
"283","JPM366_EMBI366",1995-06-15,1156,"",NA
"284","JPM366_EMBI366",1995-06-16,1123,"",NA
"285","JPM366_EMBI366",1995-06-19,1130,"",NA
"286","JPM366_EMBI366",1995-06-20,1176,"",NA
"287","JPM366_EMBI366",1995-06-21,1162,"",NA
"288","JPM366_EMBI366",1995-06-22,1145,"",NA
"289","JPM366_EMBI366",1995-06-23,1152,"",NA
"290","JPM366_EMBI366",1995-06-26,1132,"",NA
"291","JPM366_EMBI366",1995-06-27,1119,"",NA
"292","JPM366_EMBI366",1995-06-28,1099,"",NA
"293","JPM366_EMBI366",1995-06-29,1123,"",NA
"294","JPM366_EMBI366",1995-06-30,1106,"",NA
"295","JPM366_EMBI366",1995-07-03,1105,"",NA
"296","JPM366_EMBI366",1995-07-05,1092,"",NA
"297","JPM366_EMBI366",1995-07-06,1075,"",NA
"298","JPM366_EMBI366",1995-07-07,1033,"",NA
"299","JPM366_EMBI366",1995-07-10,1037,"",NA
"300","JPM366_EMBI366",1995-07-11,1055,"",NA
"301","JPM366_EMBI366",1995-07-12,1038,"",NA
"302","JPM366_EMBI366",1995-07-13,1045,"",NA
"303","JPM366_EMBI366",1995-07-14,1054,"",NA
"304","JPM366_EMBI366",1995-07-17,1051,"",NA
"305","JPM366_EMBI366",1995-07-18,1067,"",NA
"306","JPM366_EMBI366",1995-07-19,1078,"",NA
"307","JPM366_EMBI366",1995-07-20,1087,"",NA
"308","JPM366_EMBI366",1995-07-21,1100,"",NA
"309","JPM366_EMBI366",1995-07-24,1109,"",NA
"310","JPM366_EMBI366",1995-07-25,1095,"",NA
"311","JPM366_EMBI366",1995-07-26,1099,"",NA
"312","JPM366_EMBI366",1995-07-27,1093,"",NA
"313","JPM366_EMBI366",1995-07-28,1092,"",NA
"314","JPM366_EMBI366",1995-07-31,1109,"",NA
"315","JPM366_EMBI366",1995-08-01,1111,"",NA
"316","JPM366_EMBI366",1995-08-02,1083,"",NA
"317","JPM366_EMBI366",1995-08-03,1097,"",NA
"318","JPM366_EMBI366",1995-08-04,1074,"",NA
"319","JPM366_EMBI366",1995-08-07,1062,"",NA
"320","JPM366_EMBI366",1995-08-08,1072,"",NA
"321","JPM366_EMBI366",1995-08-09,1067,"",NA
"322","JPM366_EMBI366",1995-08-10,1055,"",NA
"323","JPM366_EMBI366",1995-08-11,1045,"",NA
"324","JPM366_EMBI366",1995-08-14,1056,"",NA
"325","JPM366_EMBI366",1995-08-15,1051,"",NA
"326","JPM366_EMBI366",1995-08-16,1056,"",NA
"327","JPM366_EMBI366",1995-08-17,1064,"",NA
"328","JPM366_EMBI366",1995-08-18,1079,"",NA
"329","JPM366_EMBI366",1995-08-21,1058,"",NA
"330","JPM366_EMBI366",1995-08-22,1083,"",NA
"331","JPM366_EMBI366",1995-08-23,1088,"",NA
"332","JPM366_EMBI366",1995-08-24,1095,"",NA
"333","JPM366_EMBI366",1995-08-25,1096,"",NA
"334","JPM366_EMBI366",1995-08-28,1077,"",NA
"335","JPM366_EMBI366",1995-08-29,1087,"",NA
"336","JPM366_EMBI366",1995-08-30,1090,"",NA
"337","JPM366_EMBI366",1995-08-31,1081,"",NA
"338","JPM366_EMBI366",1995-09-01,1077,"",NA
"339","JPM366_EMBI366",1995-09-05,1074,"",NA
"340","JPM366_EMBI366",1995-09-06,1078,"",NA
"341","JPM366_EMBI366",1995-09-07,1064,"",NA
"342","JPM366_EMBI366",1995-09-08,1062,"",NA
"343","JPM366_EMBI366",1995-09-11,1049,"",NA
"344","JPM366_EMBI366",1995-09-12,1047,"",NA
"345","JPM366_EMBI366",1995-09-13,1049,"",NA
"346","JPM366_EMBI366",1995-09-14,1014,"",NA
"347","JPM366_EMBI366",1995-09-15,986,"",NA
"348","JPM366_EMBI366",1995-09-18,988,"",NA
"349","JPM366_EMBI366",1995-09-19,964,"",NA
"350","JPM366_EMBI366",1995-09-20,943,"",NA
"351","JPM366_EMBI366",1995-09-21,948,"",NA
"352","JPM366_EMBI366",1995-09-22,952,"",NA
"353","JPM366_EMBI366",1995-09-25,961,"",NA
"354","JPM366_EMBI366",1995-09-26,967,"",NA
"355","JPM366_EMBI366",1995-09-27,979,"",NA
"356","JPM366_EMBI366",1995-09-28,976,"",NA
"357","JPM366_EMBI366",1995-09-29,960,"",NA
"358","JPM366_EMBI366",1995-10-02,964,"",NA
"359","JPM366_EMBI366",1995-10-03,976,"",NA
"360","JPM366_EMBI366",1995-10-04,978,"",NA
"361","JPM366_EMBI366",1995-10-05,967,"",NA
"362","JPM366_EMBI366",1995-10-06,965,"",NA
"363","JPM366_EMBI366",1995-10-10,974,"",NA
"364","JPM366_EMBI366",1995-10-11,970,"",NA
